building@1440 | .amap-map-canvas__pin-marker | letter-spacing : "normal" -> undefined
building@1440 | .amap-map-canvas__pin-marker | font-variant-numeric : "normal" -> undefined
building@1440 | .amap-map-canvas__pin-marker | font-feature-settings : "normal" -> undefined
building@1440 | .amap-map-canvas__pin-marker | text-align : "start" -> undefined
building@1440 | .amap-map-canvas__pin-marker | text-decoration-line : "none" -> undefined
building@1440 | .amap-map-canvas__pin-marker | transition-property : "all" -> undefined
building@1440 | .amap-map-canvas__pin-marker | transition-duration : "0s" -> undefined
building@1440 | .amap-map-canvas__pin-marker | transition-timing-function : "ease" -> undefined
building@1440 | .amap-map-canvas__pin-marker | aspect-ratio : "auto" -> undefined
building@1440 | .amap-map-canvas__pin-marker | object-fit : "fill" -> undefined
building@1440 | .amap-map-canvas__pin-marker | white-space : "normal" -> undefined
building@1440 | .amap-map-canvas__pin-marker | text-overflow : "clip" -> undefined
building@1440 | .amap-map-canvas__pin-marker | align-items : "center" -> undefined
building@1440 | .amap-map-canvas__pin-marker | justify-content : "center" -> undefined
building@1440 | .amap-map-canvas__pin-marker | grid-template-columns : "none" -> undefined
building@1440 | .amap-map-canvas__pin-marker | transform : "none" -> undefined
building@1440 | .amap-map-canvas__pin-marker | opacity : "1" -> undefined
building@1440 | .amap-map-canvas__pin-marker | backdrop-filter : "none" -> undefined
building@1440 | .amap-map-canvas__pin-marker | _rect : [26,26] -> undefined
building-media@320 | .building-card-mini | display : "flex" -> "block"
building-media@320 | .building-card-mini | flex-direction : "column" -> "row"
building-media@320 | .building-card-mini__media | position : "static" -> "relative"
building-media@320 | .building-card-mini__media | top : "auto" -> "0px"
building-media@320 | .building-card-mini__media | right : "auto" -> "0px"
building-media@320 | .building-card-mini__media | bottom : "auto" -> "0px"
building-media@320 | .building-card-mini__media | left : "auto" -> "0px"
building-media@320 | .building-card-mini__media | min-height : "auto" -> "0px"
building-media@320 | .building-card-mini__media | overflow : "hidden" -> "visible"
building-media@320 | .building-card-mini__media | overflow-x : "hidden" -> "visible"
building-media@320 | .building-card-mini__media | overflow-y : "hidden" -> "visible"
building-media@320 | .building-card-mini__media img | transition-property : "transform" -> "all"
building-media@320 | .building-card-mini__media img | transition-duration : "0.2s" -> "0s"
building-media@320 | .building-card-mini__body | min-height : "auto" -> "0px"
building-media@320 | .detail-side-rail | flex-direction : "column" -> "row"
building-media@320 | .detail-side-rail | top : "108px" -> "auto"
building-media@320 | .detail-side-rail | gap : "16px" -> "normal"
building-media@320 | .location-panel__poi-panel | z-index : "10" -> "auto"
building-media@320 | .location-panel__poi-subtab | border-radius : "999px" -> "980px"
building-media@375 | .building-card-mini | display : "flex" -> "block"
building-media@375 | .building-card-mini | flex-direction : "column" -> "row"
building-media@375 | .building-card-mini__media | position : "static" -> "relative"
building-media@375 | .building-card-mini__media | top : "auto" -> "0px"
building-media@375 | .building-card-mini__media | right : "auto" -> "0px"
building-media@375 | .building-card-mini__media | bottom : "auto" -> "0px"
building-media@375 | .building-card-mini__media | left : "auto" -> "0px"
building-media@375 | .building-card-mini__media | min-height : "auto" -> "0px"
building-media@375 | .building-card-mini__media | overflow : "hidden" -> "visible"
building-media@375 | .building-card-mini__media | overflow-x : "hidden" -> "visible"
building-media@375 | .building-card-mini__media | overflow-y : "hidden" -> "visible"
building-media@375 | .building-card-mini__media img | transition-property : "transform" -> "all"
building-media@375 | .building-card-mini__media img | transition-duration : "0.2s" -> "0s"
building-media@375 | .building-card-mini__body | min-height : "auto" -> "0px"
building-media@375 | .detail-side-rail | flex-direction : "column" -> "row"
building-media@375 | .detail-side-rail | top : "108px" -> "auto"
building-media@375 | .detail-side-rail | gap : "16px" -> "normal"
building-media@375 | .location-panel__poi-panel | z-index : "10" -> "auto"
building-media@375 | .location-panel__poi-subtab | border-radius : "999px" -> "980px"
building-media@768 | .building-card-mini | display : "flex" -> "block"
building-media@768 | .building-card-mini | flex-direction : "column" -> "row"
building-media@768 | .building-card-mini__media | position : "static" -> "relative"
building-media@768 | .building-card-mini__media | top : "auto" -> "0px"
building-media@768 | .building-card-mini__media | right : "auto" -> "0px"
building-media@768 | .building-card-mini__media | bottom : "auto" -> "0px"
building-media@768 | .building-card-mini__media | left : "auto" -> "0px"
building-media@768 | .building-card-mini__media | min-height : "auto" -> "0px"
building-media@768 | .building-card-mini__media | overflow : "hidden" -> "visible"
building-media@768 | .building-card-mini__media | overflow-x : "hidden" -> "visible"
building-media@768 | .building-card-mini__media | overflow-y : "hidden" -> "visible"
building-media@768 | .building-card-mini__media img | transition-property : "transform" -> "all"
building-media@768 | .building-card-mini__media img | transition-duration : "0.2s" -> "0s"
building-media@768 | .building-card-mini__body | min-height : "auto" -> "0px"
building-media@768 | .detail-side-rail | flex-direction : "column" -> "row"
building-media@768 | .detail-side-rail | top : "108px" -> "auto"
building-media@768 | .detail-side-rail | gap : "16px" -> "normal"
building-media@768 | .location-panel__poi-panel | z-index : "10" -> "auto"
building-media@768 | .location-panel__poi-subtab | border-radius : "999px" -> "980px"
building-media@768 | .amap-map-canvas__pin-marker | count : 1 -> 0
building-media@768 | .amap-map-canvas__pin-marker | display : "flex" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | flex-direction : "row" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | flex-wrap : "nowrap" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | position : "absolute" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | top : "0px" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | right : "-13px" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | bottom : "-13px" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | left : "0px" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | width : "26px" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | height : "26px" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | max-height : "none" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | min-height : "0px" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | margin : "-13px 0px 0px -13px" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | padding : "0px" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | gap : "normal" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | background-color : "rgb(29, 29, 31)" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | border-top-width : "3px" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | border-top-style : "solid" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | border-top-color : "rgb(255, 255, 255)" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | border-radius : "50%" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | box-shadow : "none" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | overflow : "visible" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | overflow-x : "visible" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | overflow-y : "visible" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | z-index : "auto" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | color : "rgb(245, 245, 247)" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | font-size : "13px" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | font-weight : "600" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | line-height : "20.15px" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | letter-spacing : "normal" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | font-variant-numeric : "normal" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | font-feature-settings : "normal" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | text-align : "start" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | text-decoration-line : "none" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | transition-property : "all" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | transition-duration : "0s" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | transition-timing-function : "ease" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | aspect-ratio : "auto" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | object-fit : "fill" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | white-space : "normal" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | text-overflow : "clip" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | align-items : "center" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | justify-content : "center" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | grid-template-columns : "none" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | transform : "none" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | opacity : "1" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | backdrop-filter : "none" -> undefined
building-media@768 | .amap-map-canvas__pin-marker | _rect : [26,26] -> undefined
building-media@1440 | .building-card-mini | display : "flex" -> "block"
building-media@1440 | .building-card-mini | flex-direction : "column" -> "row"
building-media@1440 | .building-card-mini__media | position : "static" -> "relative"
building-media@1440 | .building-card-mini__media | top : "auto" -> "0px"
building-media@1440 | .building-card-mini__media | right : "auto" -> "0px"
building-media@1440 | .building-card-mini__media | bottom : "auto" -> "0px"
building-media@1440 | .building-card-mini__media | left : "auto" -> "0px"
building-media@1440 | .building-card-mini__media | min-height : "auto" -> "0px"
building-media@1440 | .building-card-mini__media | overflow : "hidden" -> "visible"
building-media@1440 | .building-card-mini__media | overflow-x : "hidden" -> "visible"
building-media@1440 | .building-card-mini__media | overflow-y : "hidden" -> "visible"
building-media@1440 | .building-card-mini__media img | transition-property : "transform" -> "all"
building-media@1440 | .building-card-mini__media img | transition-duration : "0.2s" -> "0s"
building-media@1440 | .building-card-mini__body | min-height : "auto" -> "0px"
building-media@1440 | .detail-side-rail | flex-direction : "column" -> "row"
building-media@1440 | .detail-side-rail | top : "108px" -> "auto"
building-media@1440 | .detail-side-rail | gap : "16px" -> "normal"
building-media@1440 | .location-panel__poi-panel | z-index : "10" -> "auto"
building-media@1440 | .location-panel__poi-subtab | border-radius : "999px" -> "980px"
